status,product_slug,product_name,image_path,match_method,confidence,best_guess_product_slug,best_guess_product_name,best_guess_score
missing_product_image,turkish-carrara-aqua-blue,Turkish Carrara(Aqua Blue),,,,,,
unclear_or_extra,,,Baltic Eclipse.jpg,,,atlantic-grey,Atlantic Grey,0.52
unclear_or_extra,,,Black Granite.jpg,,,atlantic-grey,Atlantic Grey,0.54
unclear_or_extra,,,Black Pearl.jpg,,,siena-pearl,Siena Pearl,0.64
unclear_or_extra,,,Cannons Grey.jpg,,,ash-grey,Ash Grey,0.70
unclear_or_extra,,,Charcoal Quartz.jpg,,,charlotte,Charlotte,0.50
unclear_or_extra,,,DSCF1137.jpg,,,toros-black,Toros Black,0.21
unclear_or_extra,,,DSCF1140.jpg,,,toros-black,Toros Black,0.21
unclear_or_extra,,,DSCF1156.jpg,,,toros-black,Toros Black,0.21
unclear_or_extra,,,DSCF1163.jpg,,,toros-black,Toros Black,0.21
unclear_or_extra,,,DSCF1166.jpg,,,toros-black,Toros Black,0.21
unclear_or_extra,,,Dark Bluestone.jpg,,,tundra-blue,Tundra Blue,0.56
unclear_or_extra,,,Electron Limestone.jpg,,,honey-limestone,Honey Limestone,0.73
unclear_or_extra,,,Grey Limestone.jpg,,,honey-limestone,Honey Limestone,0.83
unclear_or_extra,,,Grigio Storm.jpg,,,stormy-grey,Stormy Grey,0.43
unclear_or_extra,,,Heath.jpg,,,hotham,Hotham,0.55
unclear_or_extra,,,Kota Honey.jpg,,,tundra-grey,Tundra Grey,0.48
unclear_or_extra,,,Light Bluestone.jpg,,,honey-limestone,Honey Limestone,0.53
unclear_or_extra,,,Milkyway.jpg,,,beloka,Beloka,0.43
unclear_or_extra,,,Monte Carlo .jpg,,,bianca-chiaro,Bianca Chiaro,0.50
unclear_or_extra,,,SAI/Galala.jpg,,,angola-black,Angola Black,0.56
unclear_or_extra,,,SAI/Sunny-Menia.jpg,,,honey-limestone,Honey Limestone,0.46
unclear_or_extra,,,Sahara Beige.jpg,,,steal-blue,Steal Blue,0.45
unclear_or_extra,,,Sahara.jpg,,,seagrass,Seagrass,0.57
unclear_or_extra,,,Sea Shell.jpg,,,sesame-white,Sesame White,0.57
unclear_or_extra,,,Tanabee.jpg,,,steal-blue,Steal Blue,0.47
unclear_or_extra,,,Teakwood.jpg,,,barwon,Barwon,0.43
unclear_or_extra,,,Tuscany Classic.jpg,,,toros-black,Toros Black,0.46
unclear_or_extra,,,Tuscany White.jpg,,,nimbus-white,Nimbus White,0.64
unclear_or_extra,,,Vintage Oyster.jpg,,,siena-grey,Siena Grey,0.50
unclear_or_extra,,,White Sands.jpg,,,white-ochre-blend,White Ochre Blend,0.57
unclear_or_extra,,,Windsor Grey.jpg,,,stormy-grey,Stormy Grey,0.70
